K,Fine(K)
1101,6335973288
1102,6408814377
1103,6408814377
1104,6492149254
1105,6493158926
1106,6567961457
1107,6575141095
1108,6652563176
1109,6652563176
1110,6737216296
1111,6737307808
1112,6816651075
1113,6824162377
1114,6901902676
1115,6902844530
1116,6991707862
1117,6991707862
1118,7071280324
1119,7078726048
1120,7163049389
1121,7163088821
1122,7252496169
1123,7252496169
1124,7337017939
1125,7345910607
1126,7428858047
1127,7429175640
1128,7523926860
1129,7523926860
1130,7609918140
1131,7617916676
1132,7706072806
1133,7706172150
1134,7801858047
1135,7802888027
1136,7893227192
1137,7901369615
1138,7989873223
1139,7989922029
1140,8092037008
1141,8092338373
1142,8182820757
1143,8191386318
1144,8285795531
1145,8286876245
1146,8388241172
1147,8388274900
1148,8484722400
1149,8493346727
1150,8588963770
1151,8588963770
1152,8696859615
1153,8696859615
1154,8793357029
1155,8803946001
1156,8904189023
1157,8904268655
1158,9012200578
1159,9012246582
1160,9116142258
1161,9125521707
1162,9226481816
1163,9226481816
1164,9340826123
1165,9342005045
1166,9444889353
1167,9454314478
1168,9561216660
1169,9561553107
1170,9678302337
1171,9678302337
1172,9787310691
1173,9797119644
1174,9904161003
1175,9905433562
1176,10027815677
1177,10027932261
1178,10137449690
1179,10147650939
1180,10262634314
1181,10262634314
1182,10384945559
1183,10385393099
1184,10501685558
1185,10513311829
1186,10627286064
1187,10627286064
1188,10757172203
1189,10757209699
1190,10875623376
1191,10886227239
1192,11007271670
1193,11007271670
1194,11137395108
1195,11138735350
1196,11262280430
1197,11273862769
1198,11395052198
1199,11395179774
1200,11534780933
1201,11534780933
1202,11658686444
1203,11669903023
1204,11798879586
1205,11800287316
1206,11938848948
1207,11938909461
1208,12070323604
1209,12081999662
1210,12212713479
1211,12213114117
1212,12359321187
1213,12359321187
1214,12490969526
1215,12504643375
1216,12641542961
1217,12641542961
1218,12789085059
1219,12789129779
1220,12930242117
1221,12942618779
1222,13079761382
1223,13079761382
1224,13235719857
1225,13237755678
1226,13377713194
1227,13390284012
1228,13535309900
1229,13535309900
1230,13693169024
1231,13693169024
1232,13842314937
1233,13855472843
1234,14001073062
1235,14002831306
1236,14167681466
1237,14167681466
1238,14316247047
1239,14330019416
1240,14486164092
1241,14486232862
1242,14652332615
1243,14652481783
1244,14809676998
1245,14825070388
1246,14980101616
1247,14980145870
1248,15155597333
1249,15155597333
1250,15315333309
1251,15329635181
1252,15493116278
1253,15493586858
1254,15669646462
1255,15671376670
1256,15838450776
1257,15852857765
1258,16016977205
1259,16016977205
1260,16205638955
1261,16205754479
1262,16373175960
1263,16388027598
1264,16561809376
1265,16563833894
1266,16750289478
1267,16750790703
1268,16927710845
1269,16943272755
1270,17119242138
1271,17119288922
1272,17316286347
1273,17316352129
1274,17494703639
1275,17512455174
1276,17696565980
1277,17696565980
1278,17894468634
1279,17894468634
1280,18084639169
1281,18101324342
1282,18285854974
1283,18285854974
1284,18494235140
1285,18496197184
1286,18684371428
1287,18701544814
1288,18897422878
1289,18897422878
1290,19109172412
1291,19109172412
1292,19308143573
1293,19325109680
1294,19520559134
1295,19523206102
1296,19744796118
1297,19744796118
1298,19944510137
1299,19961971924
1300,20171015488
1301,20171015488
1302,20393547445
1303,20393547445
1304,20604461856
1305,20624969623
1306,20832117258
1307,20832117258
1308,21065773623
1309,21066629933
1310,21280229519
1311,21298757033
1312,21517829622
1313,21517966890
1314,21753145932
1315,21755356242
1316,21979014443
1317,21997905222
1318,22217134992
1319,22217134992
1320,22467784731
1321,22467784731
1322,22691529622
1323,22712022294
1324,22943420007
1325,22945791235
1326,23194504942
1327,23194504942
1328,23430844352
1329,23450748001
1330,23686355071
1331,23686559223
1332,23948643573
1333,23948698789
1334,24185501468
1335,24208468283
1336,24453641664
1337,24454290477
1338,24717053226
1339,24717202242
1340,24969501060
1341,24990839866
1342,25236636208
1343,25236729657
1344,25514782376
1345,25517274328
1346,25767721174
1347,25789252924
1348,26048154552
1349,26048236113
1350,26329544704
1351,26330230885
1352,26594787835
1353,26617186267
1354,26876950943
1355,26879548517
1356,27171848719
1357,27171914863
1358,27437410438
1359,27460490286
1360,27737825169
1361,27737825169
1362,28031543771
1363,28031603176
1364,28310929020
1365,28338009173
1366,28612490571
1367,28612490571
1368,28922403485
1369,28922464989
1370,29205388791
1371,29229299721
1372,29519496919
1373,29519496919
1374,29829670162
1375,29832775056
1376,30128101549
1377,30153169644
1378,30443537909
1379,30444295031
1380,30773951161
1381,30773951161
1382,31069613665
1383,31094746850
1384,31400724030
1385,31403645314
1386,31733165931
1387,31733258621
1388,32044561026
1389,32070355124
1390,32380001330
1391,32380176206
1392,32725222619
1393,32726019365
1394,33038534600
1395,33068634998
1396,33391240911
1397,33391492919
1398,33737245858
1399,33737245858
1400,34070965419
1401,34098061094
1402,34421710283
1403,34421787451
1404,34786105680
1405,34789254340
1406,35119046878
1407,35147807772
1408,35489315848
1409,35489315848
1410,35858054621
1411,35858168517
1412,36205102461
1413,36234083277
1414,36576570631
1415,36579840045
1416,36963776477
1417,36963967841
1418,37311932612
1419,37341497037
1420,37704518983
1421,37705467086
1422,38090978540
1423,38090978540
1424,38457553180
1425,38491237681
1426,38851752938
1427,38851752938
1428,39257356950
1429,39257356950
1430,39628792559
1431,39660093340
1432,40039626253
1433,40039626253
1434,40445654179
1435,40450162995
1436,40836039675
1437,40867495532
1438,41247384846
1439,41247384846
1440,41679146838
1441,41679435438
1442,42067730727
1443,42100321981
1444,42500114621
1445,42503906056
1446,42931761839
1447,42931761839
1448,43339129063
1449,43373871704
1450,43778830739
1451,43778830739
1452,44228366499
1453,44228366499
1454,44636327840
1455,44674163022
1456,45097465761
1457,45097539881
1458,45549227467
1459,45549227467
1460,45982344280
1461,46017094598
1462,46439583962
1463,46441025480
1464,46914728240
1465,46918662230
1466,47348719627
1467,47384865902
1468,47828506425
1469,47828730177
1470,48309595106
1471,48309595106
1472,48762201406
1473,48798643293
1474,49244061323
1475,49248237111
1476,49747114509
1477,49748185398
1478,50201068698
1479,50238669149
1480,50711299669
1481,50711299669
1482,51212019693
1483,51212019693
1484,51689053615
1485,51732779902
1486,52201289244
1487,52201289244
1488,52726568505
1489,52726568505
1490,53208381062
1491,53248801768
1492,53740862569
1493,53740862569
1494,54267957452
1495,54272678628
1496,54774697851
1497,54814844706
1498,55309535230
1499,55309535230
1500,55866629883
1501,55866755836
1502,56368889489
1503,56410630912
1504,56929378065
1505,56935189211
1506,57489223441
1507,57489579081
1508,58016927498
1509,58058973280
1510,58583138110
1511,58583138110
1512,59166879108
1513,59167031736
1514,59695609484
1515,59743640004
1516,60288502598
1517,60288587910
1518,60871851747
1519,60873174055
1520,61433993637
1521,61479120140
1522,62025560471
1523,62025560471
1524,62636040959
1525,62641033115
1526,63198324308
1527,63243484051
1528,63817246895
1529,63817626431
1530,64437224575
1531,64437224575
1532,65020321845
1533,65068004292
1534,65642848815
1535,65647917187
1536,66290649788
1537,66290743528
1538,66875416297
1539,66923714784
1540,67534244544
1541,67534354888
1542,68178575615
1543,68178575615
1544,68792369682
1545,68846232965
1546,69450428429
1547,69452226619
1548,70127525875
1549,70127525875
1550,70748091723
1551,70798225198
1552,71432576280
1553,71432576280
1554,72111433989
1555,72116862387
1556,72761110661
1557,72812586246
1558,73447648219
1559,73447648219
1560,74163970220
1561,74165383001
1562,74812050692
1563,74863996008
1564,75529956324
1565,75535592968
1566,76247805442
1567,76247805442
1568,76927554466
1569,76980724097
1570,77654362435
1571,77654362435
1572,78398637542
1573,78399374130
1574,79078031972
1575,79141061304
1576,79841022764
1577,79841176276
1578,80588170166
1579,80588170166
1580,81305691690
1581,81361579275
1582,82064111020
